eID,gameclock,tID,pID,outcome,timestamp,minute,second,qualifier,segment,team
Play_Pass,2128.776,DFL-CLU-00000B,DFL-OBJ-0002LI,,2023-05-27 16:06:37.426000+02:00,35.0,28.0,"{'PlayOrigin': 'oppositionHalf', 'Height': 'flat', 'Recipient': 'DFL-OBJ-J016C3', 'FromOpenPlay': 'true', 'PlayAngle': '328.87', 'Player': 'DFL-OBJ-0002LI', 'FlatCross': 'false', 'Evaluation': 'unsuccessful', 'PenaltyBox': 'false', 'SemiField': 'false', 'Team': 'DFL-CLU-00000B', 'BallPossessionPhase': '496', 'Distance': 'medium', 'FreeKickLayup': 'false'}",firstHalf,Away
Play_Pass,2133.841,DFL-CLU-00000B,DFL-OBJ-J013O2,,2023-05-27 16:06:42.491000+02:00,35.0,33.0,"{'PlayOrigin': 'oppositionHalf', 'Height': 'flat', 'Recipient': 'DFL-OBJ-002GBK', 'FromOpenPlay': 'true', 'PlayAngle': '266.90', 'Player': 'DFL-OBJ-J013O2', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'Team': 'DFL-CLU-00000B', 'BallPossessionPhase': '499', 'Distance': 'medium', 'FreeKickLayup': 'false', 'Direction': 'squarePass'}",firstHalf,Away
ShotAtGoal_SavedShot,2137.674,DFL-CLU-00000B,DFL-OBJ-002GBK,0.0,2023-05-27 16:06:46.324000+02:00,35.0,37.0,"{'CounterAttack': 'true', 'AfterFreeKick': 'false', 'AssistTypeShotAtGoal': 'others', 'Pressure': '0.55', 'TakerBallControl': 'dribblingLess10m', 'DistanceToGoal': '24.62', 'Team': 'DFL-CLU-00000B', 'TakerSetup': 'otherPassFromOpenPlay', 'ShotCondition': 'notComplicated', 'AmountOfDefenders': '2', 'GoalDistanceGoalkeeper': '1.40', 'ShotOrigin': '7', 'SignificanceEvaluation': 'average', 'AngleToGoal': '12.69', 'InsideBox': 'false', 'BuildUp': 'passOpenPlay', 'AssistShotAtGoal': 'DFL-OBJ-J013O2', 'Player': 'DFL-OBJ-002GBK', 'TypeOfShot': 'rightLeg', 'PlayerSpeed': '8.74', 'SetupOrigin': 'insideLeft', 'ChanceEvaluation': 'chance', 'BallPossessionPhase': '500', 'AssistAction': 'otherPassFromOpenPlay', 'xG': '0.0199', 'SaveType': 'arms', 'SaveResult': 'cleared', 'GoalKeeper': 'DFL-OBJ-0001I0', 'SaveEvaluation': 'average'}",firstHalf,Away
CornerKick_Play_Cross,2173.622,DFL-CLU-00000B,DFL-OBJ-002GBK,,2023-05-27 16:07:22.272000+02:00,36.0,13.0,"{'Side': 'right', 'DecisionTimestamp': '2023-05-27T16:06:48.441+02:00', 'PostMarking': 'none', 'Placing': 'nearPost', 'Team': 'DFL-CLU-00000B', 'Rotation': 'awayFromGoal', 'TargetArea': 'nearPost', 'PlayOrigin': 'oppositionHalf', 'Height': 'high', 'Recipient': 'DFL-OBJ-0027FG', 'FromOpenPlay': 'false', 'PlayAngle': '266.94', 'Player': 'DFL-OBJ-002GBK', 'FlatCross': 'false', 'Evaluation': 'unsuccessful', 'PenaltyBox': 'true', 'SemiField': 'false', 'BallPossessionPhase': '502', 'Distance': 'medium'}",firstHalf,Away
TacklingGame,2175.95,DFL-CLU-00000B,DFL-OBJ-002G8H,1.0,2023-05-27 16:07:24.600000+02:00,36.0,15.0,"{'Winner': 'DFL-OBJ-0027FG', 'Type': 'air', 'PossessionChange': 'false', 'WinnerTeam': 'DFL-CLU-00000S', 'LoserTeam': 'DFL-CLU-00000B', 'WinnerResult': 'ballcontactSucceeded', 'Loser': 'DFL-OBJ-002G8H', 'GoalKeeperInvolved': 'false', 'LoserRole': 'withBallControl', 'WinnerRole': 'withoutBallControl'}",firstHalf,Away
Play_Pass,2179.255,DFL-CLU-00000B,DFL-OBJ-002GOI,,2023-05-27 16:07:27.905000+02:00,36.0,19.0,"{'PlayOrigin': 'oppositionHalf', 'Height': 'flat', 'Recipient': 'DFL-OBJ-002G02', 'FromOpenPlay': 'true', 'PlayAngle': '292.18', 'Player': 'DFL-OBJ-002GOI', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'Team': 'DFL-CLU-00000B', 'BallPossessionPhase': '505', 'Distance': 'short', 'FreeKickLayup': 'false'}",firstHalf,Away
Play_Pass,2180.18,DFL-CLU-00000B,DFL-OBJ-002G02,,2023-05-27 16:07:28.830000+02:00,36.0,20.0,"{'PlayOrigin': 'oppositionHalf', 'Height': 'flat', 'Recipient': 'DFL-OBJ-J01B8R', 'FromOpenPlay': 'true', 'PlayAngle': '193.70', 'Player': 'DFL-OBJ-002G02', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'Team': 'DFL-CLU-00000B', 'BallPossessionPhase': '506', 'Distance': 'medium', 'FreeKickLayup': 'false'}",firstHalf,Away
Play_Pass,2182.635,DFL-CLU-00000B,DFL-OBJ-J01B8R,,2023-05-27 16:07:31.285000+02:00,36.0,22.0,"{'PlayOrigin': 'oppositionHalf', 'Height': 'flat', 'Recipient': 'DFL-OBJ-0002LI', 'FromOpenPlay': 'true', 'PlayAngle': '279.69', 'Player': 'DFL-OBJ-J01B8R', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'Team': 'DFL-CLU-00000B', 'BallPossessionPhase': '507', 'Distance': 'medium', 'FreeKickLayup': 'false'}",firstHalf,Away
Play_Pass,2185.769,DFL-CLU-00000B,DFL-OBJ-0002LI,,2023-05-27 16:07:34.419000+02:00,36.0,25.0,"{'PlayOrigin': 'oppositionHalf', 'Height': 'flat', 'Recipient': 'DFL-OBJ-J01B8R', 'FromOpenPlay': 'true', 'PlayAngle': '132.56', 'Player': 'DFL-OBJ-0002LI', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'Team': 'DFL-CLU-00000B', 'BallPossessionPhase': '508', 'Distance': 'medium', 'FreeKickLayup': 'false'}",firstHalf,Away
Play_Pass,2188.415,DFL-CLU-00000B,DFL-OBJ-J01B8R,,2023-05-27 16:07:37.065000+02:00,36.0,28.0,"{'PlayOrigin': 'ownHalf', 'Height': 'flat', 'Recipient': 'DFL-OBJ-0026NY', 'FromOpenPlay': 'true', 'PlayAngle': '212.47', 'Player': 'DFL-OBJ-J01B8R', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'Team': 'DFL-CLU-00000B', 'BallPossessionPhase': '509', 'Distance': 'medium', 'FreeKickLayup': 'false'}",firstHalf,Away
Play_Pass,2193.49,DFL-CLU-00000B,DFL-OBJ-0026NY,,2023-05-27 16:07:42.140000+02:00,36.0,33.0,"{'PlayOrigin': 'ownHalf', 'Height': 'flat', 'Recipient': 'DFL-OBJ-J01B8R', 'FromOpenPlay': 'true', 'PlayAngle': '323.72', 'Player': 'DFL-OBJ-0026NY', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'Team': 'DFL-CLU-00000B', 'BallPossessionPhase': '510', 'Distance': 'medium', 'FreeKickLayup': 'false'}",firstHalf,Away
Play_Pass,2199.616,DFL-CLU-00000B,DFL-OBJ-J01B8R,,2023-05-27 16:07:48.266000+02:00,36.0,39.0,"{'PlayOrigin': 'ownHalf', 'Height': 'flat', 'Recipient': 'DFL-OBJ-0002LI', 'FromOpenPlay': 'true', 'PlayAngle': '342.79', 'Player': 'DFL-OBJ-J01B8R', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'Team': 'DFL-CLU-00000B', 'BallPossessionPhase': '511', 'Distance': 'medium', 'FreeKickLayup': 'false'}",firstHalf,Away
Play_Pass,2202.294,DFL-CLU-00000B,DFL-OBJ-0002LI,,2023-05-27 16:07:50.944000+02:00,36.0,42.0,"{'PlayOrigin': 'ownHalf', 'Height': 'flat', 'Recipient': 'DFL-OBJ-002GAR', 'FromOpenPlay': 'true', 'PlayAngle': '115.50', 'Player': 'DFL-OBJ-0002LI', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'Team': 'DFL-CLU-00000B', 'BallPossessionPhase': '512', 'Distance': 'medium', 'FreeKickLayup': 'false'}",firstHalf,Away
