eID,gameclock,tID,pID,outcome,timestamp,minute,second,qualifier,segment,team
Delete,325.537,,,,2023-05-27 15:36:34.187000+02:00,5.0,25.0,{},firstHalf,Away
BallClaiming,330.184,DFL-CLU-00000B,DFL-OBJ-J01B8R,1.0,2023-05-27 15:36:38.834000+02:00,5.0,30.0,"{'Type': 'BallClaimed', 'Player': 'DFL-OBJ-J01B8R', 'BallPossessionPhase': '95', 'Team': 'DFL-CLU-00000B'}",firstHalf,Away
Delete,344.866,,,,2023-05-27 15:36:53.516000+02:00,5.0,44.0,{},firstHalf,Away
Foul,345.141,DFL-CLU-00000B,DFL-OBJ-J01KDN,,2023-05-27 15:36:53.791000+02:00,5.0,45.0,"{'TeamFouler': 'DFL-CLU-00000B', 'FoulType': 'foul', 'Fouler': 'DFL-OBJ-J01KDN', 'Fouled': 'DFL-OBJ-0000XU', 'TeamFouled': 'DFL-CLU-00000S'}",firstHalf,Away
VideoAssistantAction,380.43,,,,2023-05-27 15:37:29.080000+02:00,6.0,20.0,"{'Linesman2': 'DFL-OBJ-0001DW', 'TimestampStartAction': '2023-05-27T15:37:29.080+02:00', 'Referee': 'DFL-OBJ-00011X', 'TimestampEndAction': '2023-05-27T15:38:06.360+02:00', 'RefDecision': 'decisionOverturned', 'TeamChallenged': 'DFL-CLU-00000B', 'OpponentTeam': 'DFL-CLU-00000S', 'ProofedEvent': 'redCard', 'RefDecisionEvaluation': 'correct', 'RefereeinRRA': 'true', 'FinalDecision': 'eventGiven', 'Linesman1': 'DFL-OBJ-00011V', 'VideoAssistant': 'DFL-OBJ-000143'}",firstHalf,Away
Caution,423.63,DFL-CLU-00000B,DFL-OBJ-J01KDN,,2023-05-27 15:38:12.280000+02:00,7.0,3.0,"{'OtherReason': 'violentConduct', 'Player': 'DFL-OBJ-J01KDN', 'CardColor': 'red', 'RefDecisionEvaluation': 'correct', 'Team': 'DFL-CLU-00000B', 'Reason': 'violentConduct', 'CardRating': 'red'}",firstHalf,Away
Delete,479.65,,,,2023-05-27 15:39:08.300000+02:00,7.0,59.0,{},firstHalf,Away
Delete,505.303,,,,2023-05-27 15:39:33.953000+02:00,8.0,25.0,{},firstHalf,Away
BallClaiming,522.226,DFL-CLU-00000B,DFL-OBJ-0026NY,,2023-05-27 15:39:50.876000+02:00,8.0,42.0,"{'Type': 'InterceptedBall', 'Player': 'DFL-OBJ-0026NY', 'BallPossessionPhase': '120', 'Team': 'DFL-CLU-00000B'}",firstHalf,Away
Delete,540.894,,,,2023-05-27 15:40:09.544000+02:00,9.0,0.0,{},firstHalf,Away
ThrowIn_Play_Pass,558.31,DFL-CLU-00000B,DFL-OBJ-002GOI,,2023-05-27 15:40:26.960000+02:00,9.0,18.0,"{'Side': 'right', 'DecisionTimestamp': '2023-05-27T15:40:18.520+02:00', 'Team': 'DFL-CLU-00000B', 'PlayOrigin': 'ownHalf', 'Height': 'high', 'Recipient': 'DFL-OBJ-002G8H', 'FromOpenPlay': 'false', 'PlayAngle': '261.07', 'Player': 'DFL-OBJ-002GOI', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'BallPossessionPhase': '131', 'Distance': 'medium', 'FreeKickLayup': 'false'}",firstHalf,Away
ThrowIn_Play_Pass,568.582,DFL-CLU-00000B,DFL-OBJ-002GOI,,2023-05-27 15:40:37.232000+02:00,9.0,28.0,"{'Side': 'right', 'DecisionTimestamp': '2023-05-27T15:40:31.432+02:00', 'Team': 'DFL-CLU-00000B', 'PlayOrigin': 'ownHalf', 'Height': 'high', 'Recipient': 'DFL-OBJ-002G8H', 'FromOpenPlay': 'false', 'PlayAngle': '245.55', 'Player': 'DFL-OBJ-002GOI', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'BallPossessionPhase': '135', 'Distance': 'short', 'FreeKickLayup': 'false'}",firstHalf,Away
ThrowIn_Play_Pass,594.276,DFL-CLU-00000B,DFL-OBJ-002GOI,,2023-05-27 15:41:02.926000+02:00,9.0,54.0,"{'Side': 'right', 'DecisionTimestamp': '2023-05-27T15:40:43.461+02:00', 'Team': 'DFL-CLU-00000B', 'PlayOrigin': 'ownHalf', 'Height': 'high', 'Recipient': 'DFL-OBJ-J013O2', 'FromOpenPlay': 'false', 'PlayAngle': '297.16', 'Player': 'DFL-OBJ-002GOI', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'BallPossessionPhase': '139', 'Distance': 'medium', 'FreeKickLayup': 'false'}",firstHalf,Away
Delete,598.31,,,,2023-05-27 15:41:06.960000+02:00,9.0,58.0,{},firstHalf,Away
